symbol,Date,Daily_Return,Volatility_14d,ATR_14d,VIX_Close,Target,Sentiment_Score
AAPL,2020-03-18,-0.024480167239071204,1.1528250754407936,5.130064191283618,76.44999694824219,0,0.0
AAPL,2020-03-19,-0.007662117974151728,1.1527036218942561,4.926235223515497,72.0,0,0.0
AAPL,2020-03-20,-0.06348560148936877,1.082644462764477,4.852883534540193,66.04000091552734,0,0.0
AAPL,2020-03-23,-0.021244140678400636,1.0807042932839104,4.825786714198182,61.59000015258789,1,0.0
AAPL,2020-03-24,0.10032572299760845,1.162068379280154,4.985260333308128,61.66999816894531,0,0.0
AAPL,2020-03-25,-0.005508910428886793,1.1584886062614526,5.030478260444086,63.95000076293945,1,0.0
AAPL,2020-03-26,0.052623074059624964,1.1882894698829398,5.055849225495456,61.0,0,0.0
AAPL,2020-03-27,-0.0414023561568555,1.1531886610169484,4.803177355987243,65.54000091552734,1,0.0
AAPL,2020-03-30,0.028537899298657354,1.1126486905017967,4.5876118465791835,57.08000183105469,0,0.0
AAPL,2020-03-31,-0.0020407236418301666,1.1047657324626536,4.536007459870865,53.540000915527344,0,0.0
AAPL,2020-04-01,-0.052616868047944076,1.0432191919789788,4.32423847032033,57.060001373291016,1,0.0
AAPL,2020-04-02,0.016686599696056792,0.8945469574537644,3.91968934268705,50.90999984741211,0,0.0
AAPL,2020-04-03,-0.014371288285759953,0.7060679383931937,3.3805202254308084,46.79999923706055,1,0.0
AAPL,2020-04-06,0.08723727611242649,0.7777322513634749,3.423494152361935,45.2400016784668,0,0.0
AAPL,2020-04-07,-0.011582217321987831,0.7705465942662586,3.3710260251615525,46.70000076293945,1,0.0
AAPL,2020-04-08,0.025594523048836137,0.7731359454225554,3.3315025944544097,43.349998474121094,1,0.0
AAPL,2020-04-09,0.007216246856212916,0.7031104371403514,3.0129015361020928,41.66999816894531,1,0.0
AAPL,2020-04-13,0.019627447863873604,0.6867248710305363,2.861713206722476,41.16999816894531,1,0.0
AAPL,2020-04-14,0.05050315844793829,0.5928773860445702,2.71811705398719,37.7599983215332,0,0.0
AAPL,2020-04-15,-0.009127283787180418,0.5950801014420525,2.5881564446812226,40.84000015258789,1,0.0
AAPL,2020-04-16,0.007945484956775717,0.5641904907682769,2.461993150077319,40.11000061035156,0,0.0
AAPL,2020-04-17,-0.013568245762855646,0.5281379867622877,2.43955647088793,38.150001525878906,0,0.0
AAPL,2020-04-20,-0.02075658178274542,0.5359538645891261,2.4079718776331367,43.83000183105469,0,0.0
AAPL,2020-04-21,-0.03091060881018648,0.558379927463872,2.4309266531369467,45.40999984741211,1,0.0
AAPL,2020-04-22,0.02880350256012698,0.5010716371806494,2.3337592574687465,41.97999954223633,0,0.0
AAPL,2020-04-23,-0.0038754853934525046,0.5035281205736788,2.3101145059133263,41.380001068115234,1,0.0
AAPL,2020-04-24,0.028869590934050837,0.49840480902111367,2.3316885012427995,35.93000030517578,1,0.0
AAPL,2020-04-27,0.0007070031924496512,0.36096805411960237,2.0363881247282642,33.290000915527344,0,0.0
AAPL,2020-04-28,-0.01620933115643375,0.3657581729126637,1.948884384800703,33.56999969482422,1,0.0
AAPL,2020-04-29,0.03284512893331648,0.37472347923513816,2.0032506448097003,31.229999542236328,1,0.0
AAPL,2020-04-30,0.021096023571079092,0.38028148395060307,2.0279305726686823,34.150001525878906,0,0.0
AAPL,2020-05-01,-0.016099177614556703,0.38716407704002803,2.1190575611663625,37.189998626708984,1,0.0
AAPL,2020-05-04,0.014148720660992264,0.3294961080943668,1.9873713774006398,35.970001220703125,1,0.0
AAPL,2020-05-05,0.01500889709325004,0.3300265893244968,2.011879794767977,33.61000061035156,1,0.0
AAPL,2020-05-06,0.010317234699262379,0.33080826048381284,2.0089453862050806,34.119998931884766,1,0.0
AAPL,2020-05-07,0.01034473957814197,0.32219889857443784,1.9131568294929824,31.440000534057617,1,0.0
AAPL,2020-05-08,0.023801598492405596,0.307451529702121,1.939047821718073,27.979999542236328,1,0.0
AAPL,2020-05-11,0.01573555430889395,0.24988017513381972,1.9048154005440938,27.56999969482422,0,0.0
AAPL,2020-05-12,-0.01142830352225832,0.25512018081335663,1.8922816100854416,33.040000915527344,0,0.0
AAPL,2020-05-13,-0.012074011439175858,0.26527706424031466,1.994014831805037,35.279998779296875,1,0.0
AAPL,2020-05-14,0.006143439171354181,0.2481925006036266,1.999233249209421,32.61000061035156,0,0.0
AAPL,2020-05-15,-0.005912434362802421,0.2528558114236777,2.081479142058743,31.889999389648438,1,0.0
AAPL,2020-05-18,0.023561264937819182,0.2403188685221209,2.101911407883638,29.299999237060547,0,0.0
AAPL,2020-05-19,-0.005778198097622811,0.2214914688078379,2.0058633015700087,30.530000686645508,1,0.0
AAPL,2020-05-20,0.01944778589625984,0.2194650967343665,1.998910656675541,27.989999771118164,0,0.0
AAPL,2020-05-21,-0.007455582019441631,0.2050053118198246,1.858829940894511,29.530000686645508,1,0.0
AAPL,2020-05-22,0.006438828200252766,0.20227374295842535,1.798777485752801,28.15999984741211,0,0.0
AAPL,2020-05-26,-0.006773670148185307,0.20517733406102778,1.7974128120504338,28.010000228881836,1,0.0
AAPL,2020-05-27,0.004357177825350167,0.20358919819178753,1.7966400688298114,27.6200008392334,1,0.0
AAPL,2020-05-28,0.00044011343958549887,0.20223489516857082,1.8534424760167423,28.59000015258789,0,0.11747737228870392
AAPL,2020-05-29,-0.0009740375071723983,0.1804182580677011,1.8058519781312765,27.510000228881836,1,0.3394265532493591
AAPL,2020-06-01,0.012297971691894949,0.1758159654830319,1.7250345986971627,28.229999542236328,1,0.0
AAPL,2020-06-02,0.00462913046158242,0.16567046951166334,1.6511393844766746,26.84000015258789,1,0.28991695245107013
AAPL,2020-06-03,0.00550514933595303,0.15137233002810602,1.498156914024864,25.65999984741211,0,0.0
AAPL,2020-06-04,-0.008612288186894301,0.16001115680588254,1.4389711056599859,25.809999465942383,1,0.0
AAPL,2020-06-05,0.028481289675126975,0.18732648965097365,1.4407008889278157,24.520000457763672,1,0.0
AAPL,2020-06-08,0.0059122330855552185,0.16813576957455556,1.3972627625439844,25.809999465942383,1,0.0
AAPL,2020-06-09,0.03157810243172543,0.19755707377693896,1.537265901830273,27.56999969482422,1,0.0
AAPL,2020-06-10,0.02572761390096545,0.20692190770308,1.613414078223062,27.56999969482422,0,0.0
AAPL,2020-06-11,-0.048010451920247665,0.30910901431739213,1.8269661344138106,40.790000915527344,1,0.0
AAPL,2020-06-12,0.008633544460321163,0.3095355025357779,1.9948312568429765,36.09000015258789,1,0.0
AAPL,2020-06-15,0.01236707028318218,0.30664443134287184,2.0875901658445133,34.400001525878906,1,0.0
AAPL,2020-06-16,0.02650230921099017,0.3186690102184428,2.167024368230788,33.66999816894531,0,0.0
AAPL,2020-06-17,-0.0013916843817236568,0.3195450864999773,2.1064543645552143,33.470001220703125,1,0.0
AAPL,2020-06-18,0.00039802470834215953,0.31890614042457754,2.098667091079818,32.939998626708984,0,0.0
AAPL,2020-06-19,-0.005714628482001993,0.32270996548475067,2.207173687039144,35.119998931884766,1,0.0
AAPL,2020-06-22,0.026163653963037214,0.33350392219199365,2.2976815162225046,31.770000457763672,1,0.0
