symbol,Date,Open,High,Low,Close,Volume,Daily_Return,Volatility_14d,ATR_14d,VIX_Close,Target,Sentiment_Score,Sentiment_Decay,RSI_14,MA20_ratio,Momentum_5d,VIX_log,Sentiment_3d_avg,News_count_7d
AAPL,2020-01-27,74.74115326828117,75.15335327614349,73.49249613883003,74.47358703613281,161940000.0,-0.0294050998430666,0.2226903225643056,1.345421906417218,18.229999542236328,1,0.0,0.0,0.0,0.0,0.0,2.903068563580112,0.0,0.0
AAPL,2020-01-28,75.35342783283777,76.7515370876536,75.25459488094803,76.58039093017578,162234000.0,0.0282892764789319,0.2455633606022712,1.4492469187051509,16.280000686645508,1,0.0,0.0,52.60801916707925,0.0,0.0,2.7899374027516357,0.0,0.0
AAPL,2020-01-29,78.209907499375,79.02948893915872,77.46987057591716,78.18338775634766,216229200.0,0.0209322100174893,0.2507635904978063,1.4988345294726224,16.389999389648438,0,0.0,0.0,67.29674396833568,0.0,0.0,2.796671355516472,0.0,0.0
AAPL,2020-01-30,77.26737779773116,78.12311574202653,76.83588948795824,78.07008361816406,126743200.0,-0.0014492098824969,0.2404445939804904,1.4704250365339817,15.489999771118164,0,0.0,0.0,65.67076319195215,0.0,0.0,2.740194639652674,0.0,0.0
AAPL,2020-01-31,77.3614124669731,77.78325671620777,74.31449554353281,74.60858154296875,199588400.0,-0.0443383933354715,0.3143565078708308,1.6625769618661863,18.84000015258789,0,0.0,0.0,35.441407638812194,-0.023233178110937162,0.0,2.935982277247362,0.0,0.0
AAPL,2020-02-03,73.3526878513845,75.56797344941275,72.8512990512171,74.4036865234375,173788400.0,-0.0027462661170316,0.2988459754835866,1.7405760504675922,17.969999313354492,1,0.0,0.0,34.3125972653867,-0.021690051709443634,-0.0009385946813782464,2.8887036625848097,0.0,0.0
AAPL,2020-02-04,76.00667569866678,77.05044280806926,75.60170706629567,76.8600082397461,136616400.0,0.0330134410145772,0.3271400081279967,1.8366522683266688,16.049999237060547,1,0.0,0.0,54.44006716911899,0.00907823722174881,0.0036512912270885156,2.7757088020408553,0.0,0.0
AAPL,2020-02-05,77.98572352193352,78.28463523931488,76.88411323556181,77.48674774169922,118826800.0,0.0081542991772542,0.3270624462394967,1.835963252711496,15.149999618530272,1,0.0,0.0,58.099161179159886,0.015110553709813573,-0.008910332931842624,2.7180005067758577,0.0,0.0
AAPL,2020-02-06,77.75672634398214,78.39551744527337,77.19989265225486,78.39310455322266,105425600.0,0.0116969267382953,0.3265873919538897,1.8462947357533328,14.960000038146973,0,0.0,0.0,63.01551472494403,0.02391427906180133,0.004137576394031894,2.7053799750962626,0.0,0.0
AAPL,2020-02-07,77.89294126547146,78.14181565091206,76.83703724788526,77.3275375366211,117684000.0,-0.01359261152718,0.3306674879289554,1.893046763616452,15.470000267028809,1,0.0,0.0,54.44925269556659,0.008987964109227486,0.03644293910193741,2.738902681846048,0.0,0.0
AAPL,2020-02-10,75.91402717049185,77.69480895996094,75.83429386411699,77.69480895996094,109348800.0,0.0047495553982424,0.3292534071253601,1.973942135609509,15.039999961853027,0,0.0,0.0,56.816066142202374,0.012511788033038972,0.044233324856648215,2.710713315985326,0.0,0.0
AAPL,2020-02-11,78.19015142253798,78.26263625107545,77.0085971005104,77.22605895996094,94323200.0,-0.0060332216048251,0.3305934643091882,2.0046300813331377,15.18000030517578,1,0.0,0.0,52.795306915468174,0.005866359804196443,0.004762564155249782,2.71997879207129,0.0,0.0
AAPL,2020-02-12,77.67548599053883,79.06483505188083,77.67548599053883,79.06000518798828,113730400.0,0.0237477640672842,0.3445153906137144,2.068648278725046,13.739999771118164,0,0.0,0.0,64.27700502985545,0.027401995235929705,0.020303567927943966,2.6203112701361366,0.0,0.0
AAPL,2020-02-13,78.33271303943899,78.82321339617904,78.12974813739189,78.49701690673828,94747600.0,-0.0071210250987376,0.3461815991774058,2.035057924616119,14.149999618530272,1,0.0,0.0,59.28756023124681,0.018624416492207092,0.0013255292555109932,2.649714597130255,0.0,0.0
AAPL,2020-02-14,78.46558778851511,78.76520890109116,78.00891869878639,78.5163345336914,80113600.0,0.0002460937716406,0.3158131536069288,1.8578401268218967,13.68000030517578,0,0.0,0.0,59.41318854658375,0.017594614043149402,0.015373527141056442,2.615934934502575,0.0,0.0
AAPL,2020-02-18,76.19914481922879,77.25988612279623,76.01792538344428,77.07866668701172,152531200.0,-0.0183104299916443,0.3080348419168008,1.87358720530235,14.829999923706056,1,0.0,0.0,46.970110699367964,-0.0009731702243459077,-0.007930288795313767,2.6966521510052726,0.0,0.0
AAPL,2020-02-19,77.32029972520789,78.42453202537972,77.32029972520789,78.19498443603516,93984000.0,0.0144828367822757,0.3009321535601431,1.7947848716869967,14.380000114440918,0,0.0,0.0,55.479657883305805,0.012691639749223806,0.012546613010208985,2.66583836025124,0.0,0.0
