symbol,Date,Open,High,Low,Close,Volume,Daily_Return,Volatility_14d,ATR_14d,VIX_Close,Target,Sentiment_Score,Sentiment_Decay,RSI_14,MA20_ratio,Momentum_5d,Sentiment_3d_avg,News_count_7d
AAPL,2020-02-14,78.46558778851511,78.76520890109116,78.00891869878639,78.5163345336914,80113600,0.0002460937716406,0.3158131536069288,1.8578401268218967,13.68000030517578,0,0.0,0.0,62.796128302502815,0.017594614043149423,0.015373527141056442,0.0,0.0
AAPL,2020-02-18,76.19914481922879,77.25988612279623,76.01792538344428,77.07866668701172,152531200,-0.0183104299916443,0.3080348419168008,1.87358720530235,14.829999923706056,1,0.0,0.0,51.646906810946895,-0.0009731702243458288,-0.007930288795313767,0.0,0.0
AAPL,2020-02-19,77.32029972520789,78.42453202537972,77.32029972520789,78.19498443603516,93984000,0.0144828367822757,0.3009321535601431,1.7947848716869967,14.380000114440918,0,0.0,0.0,50.039603588918915,0.012691639749223983,0.012546613010208985,0.0,0.0
AAPL,2020-02-20,77.95576130740083,78.44384294584167,76.88777163956716,77.39276885986328,100566000,-0.0102591692032127,0.3041598419965061,1.809682945821646,15.5600004196167,0,0.0,0.0,47.79086405068394,0.002174083189596536,-0.021088239548690324,0.0,0.0
AAPL,2020-02-21,76.98683382307465,77.42901329626612,75.0248329307541,75.64097595214844,129554000,-0.02263509800104,0.2531083606665585,1.713153823741701,17.079999923706055,0,0.0,0.0,53.789953059006734,-0.019451737720002957,-0.03638406995750021,0.0,0.0
AAPL,2020-02-24,71.8257200728422,73.49776723386336,69.88546431842104,72.04801177978516,222195200,-0.0475002355156845,0.3267859762292074,1.9302136262796827,25.030000686645508,0,0.0,0.0,43.074892085007804,-0.06293438216139463,-0.08238187368681471,0.0,0.0
AAPL,2020-02-25,72.71734532445798,73.09911114776158,69.13644634923264,69.60761260986328,230673600,-0.0338718461431102,0.3102732959140162,2.024207091558052,27.850000381469727,1,0.0,0.0,28.659751599980964,-0.09180064201616,-0.09692765064924713,0.0,0.0
AAPL,2020-02-26,69.23308803031283,71.97554423056066,69.22583954625632,70.71183776855469,198054800,0.0158635689012978,0.3191100455672226,2.1188554976105918,27.559999465942383,0,0.0,0.0,30.609629928216407,-0.07384761023553485,-0.09569855050744092,0.0,0.0
AAPL,2020-02-27,67.92104419759342,69.10500967174747,65.95420576749399,66.08951568603516,320605600,-0.0653684337500709,0.3935632065223864,2.373284583899319,39.15999984741211,0,0.0,0.0,20.96257712853881,-0.12747836171548313,-0.14605050756479798,0.0,0.0
AAPL,2020-02-28,62.1606861550344,67.27107285671417,61.94563554811998,66.05085754394531,426510000,-0.0005849360778114,0.3962929102045119,2.6425252984176617,40.11000061035156,1,0.0,0.0,22.030429265261276,-0.12101489622016737,-0.1267846995293923,0.0,0.0
